DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
1/26/2013,0300, 04, 18, 14, 29, 05, NG, 12,  N,   ,   ,   ,  1, 99,  S, OV,  8,  6,  7,  5,  N
1/27/2013,0300, 04, 21,  6, 33, 11, NG,  1,  N,   ,   ,   ,  1, 99,  S, CL,  8,  8,  7,  7,  N
1/28/2013,0300, 04, 29, 10, 26, 02, NG,  0,  N,   ,   ,   ,  0, 96,  S, SC,  8,  7,  7,  7,  N
1/29/2013,0300, 04, 35, 33, 24, 08, NG,  7,  N,   ,   ,   ,  5, 17,  R, OV,  3,  3,  5,  5, BR
1/30/2013,0300, 04, 43, 42, 15, 02, NG,  6,  N,   ,   ,   ,  1,  2,  R, OV,  3,  3,  5,  5, BR
1/31/2013,0300, 04, 59, 55, 17, 08, NG, 48,  Y,   ,   ,   ,  1,  0,  R, OV,  4,  4,  7,  6,  N
1/01/2013,0400, 05, 38, 23, 25, 12, NG,  0,  N,   ,   ,   ,  0, 56,  S, OV,  6,  6,  7,  7,  N
1/02/2013,0400, 05, 28, 11, 33, 13, NG,  0,  N,   ,   ,   ,  2, 85,  S, BK,  8,  6,  7,  7,  N
1/03/2013,0400, 05, 28, 15, 28, 07, NG,  0,  N,   ,   ,   ,  2, 85,  S, BK,  8,  6,  7,  7,  N
1/04/2013,0400, 05, 30, 18, 24, 09, NG,  0,  N,   ,   ,   ,  2, 83,  S, BK,  7,  6,  7,  7,  N
1/05/2013,0400, 05, 34, 19, 26, 11, NG,  0,  N,   ,   ,   ,  2, 70,  S, CL,  8,  8,  7,  7,  N
1/06/2013,0400, 05, 33, 23, 22, 04, NG,  0,  N,   ,   ,   ,  1, 74,  S, OV,  8,  6,  7,  7,  N
1/07/2013,0400, 05, 40, 27, 28, 07, NG,  3,  N,   ,   ,   ,  0, 49,  S, OV,  7,  6,  7,  7,  N
1/08/2013,0400, 05, 35, 23, 23, 04, NG,  0,  N,   ,   ,   ,  4, 30,  R, CL,  8,  8,  7,  7,  N
1/09/2013,0400, 05, 37, 29, 24, 04, NG,  1,  N,   ,   ,   ,  0, 19,  R, BK,  8,  6,  7,  7,  N
1/10/2013,0400, 05, 43, 33, 26, 12, NG,  0,  N,   ,   ,   ,  0,  7,  R, CL,  8,  8,  7,  7,  N
1/11/2013,0400, 05, 38, 25, 03, 06, NG,  1,  N,   ,   ,   ,  3, 15,  R, BK,  8,  6,  7,  7,  N
1/12/2013,0400, 05, 44, 43, 02, 04, NG, 47,  Y,   ,   ,   ,  1,  1,  R, OV,  3,  3,  3,  3, BR
1/13/2013,0400, 05, 46, 44, 26, 01, NG,  1,  N,   ,   ,   ,  0,  1,  R, OV,  3,  3,  5,  5, BR
1/14/2013,0400, 05, 49, 48, 21, 02, NG, 44,  N,   ,   ,   ,  0,  0,  R, OV,  2,  2,  2,  2, FG
1/15/2013,0400, 05, 41, 34, 35, 10, NG, 71,  Y,   ,   ,   ,  4,  0,  R, OV,  7,  6,  7,  7,  N
1/16/2013,0400, 05, 37, 28, 03, 07, NG, 97,  Y,   ,   ,   ,  8, 27,  R, OV,  6,  6,  7,  5,  N
1/17/2013,0400, 05, 36, 33, 25, 08, NG,  0,  N,   ,   ,   ,  1, 12,  R, BK,  8,  6,  7,  7,  N
1/18/2013,0400, 05, 36, 22, 36, 08, NG,  9,  N,   ,   ,   ,  0, 64,  S, OV,  6,  6,  7,  7,  N
1/19/2013,0400, 05, 29, 12, 20, 07, NG,  0,  N,   ,   ,   ,  3, 82,  S, SC,  8,  6,  7,  7,  N
1/20/2013,0400, 05, 43, 28, 22, 13, NG,  0,  N,   ,   ,   ,  0,  3,  R, BK,  8,  6,  7,  7,  N
1/21/2013,0400, 05, 31, 10, 32, 12, NG,  0,  N,   ,   ,   ,  2, 85,  S, SC,  8,  6,  7,  7,  N
1/22/2013,0400, 05, 27, 16, 30, 13, NG,  1,  N,   ,   ,   ,  2, 85,  S, SC,  8,  6,  7,  7,  N
1/23/2013,0400, 05, 14, -7, 30, 13, 20,  0,  N,   ,   ,   ,  2, 85,  S, SC,  8,  6,  7,  7,  N
1/24/2013,0400, 05, 14,  1, 28, 05, NG,  4,  N,   ,   ,   ,  2, 85,  S, BK,  8,  6,  7,  7,  N
1/25/2013,0400, 05, 16, -2, 30, 13, 22,  0,  N,   ,   ,   ,  2, 85,  S, CL,  8,  8,  7,  7,  N
1/26/2013,0400, 05, 18, 12, 29, 06, NG,  2,  N,   ,   ,   ,  2, 85,  S, BK,  8,  6,  7,  6,  N
1/27/2013,0400, 05, 20,  6, 32, 10, NG,  0,  N,   ,   ,   ,  2, 85,  S, CL,  8,  8,  7,  7,  N
1/28/2013,0400, 05, 28, 11, 24, 03, NG,  0,  N,   ,   ,   ,  2, 84,  S, SC,  8,  6,  7,  7,  N
1/29/2013,0400, 05, 36, 33, 25, 08, NG,  0,  N,   ,   ,   ,  2, 17,  R, OV,  4,  4,  5,  5, BR
1/30/2013,0400, 05, 44, 41, 15, 02, NG,  5,  N,   ,   ,   ,  2,  6,  R, OV,  3,  3,  5,  5, BR
1/31/2013,0400, 05, 61, 57, 18, 12, NG, 31,  N,   ,   ,   ,  1,  2,  R, OV,  4,  4,  7,  6,  N
1/01/2013,0500, 06, 38, 24, 25, 13, NG,  0,  N,   ,   ,   ,  0, 59,  S, OV,  6,  6,  7,  7,  N
1/02/2013,0500, 06, 27, 11, 32, 12, NG,  0,  N,   ,   ,   ,  2, 87,  S, BK,  8,  7,  7,  7,  N
