DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
01/09/2013,500,6,37,28,21,12,19,2,  N,   ,   ,   ,2,30,  R, OV,8,6,7,7,  N
01/10/2013,500,6,32,22,24,4, NG,0,  N,   ,   ,   ,5,50,  S, FW,8,6,7,7,  N
01/11/2013,500,6,41,40,14,11, NG,94,  Y,   ,   ,   ,0,2,  R, OV,2,2,5,5, BR
01/12/2013,500,6,51,47,20,13,20,0,  N,   ,   ,   ,0,3,  R, OV,8,6,7,7,  N
1/13/2013,500,6,30,27,35,11, NG,88,  Y,   ,   ,   ,73,27,  Z, OV,6,6,7,7,  N
1/14/2013,500,6,14,7,28,14, NG,28,  N,   ,   ,   ,0,100,  S, BK,8,5,7,7,  N
1/15/2013,500,6,18,11,28,4, NG,0,  N,   ,   ,   ,1,91,  S, CL,8,8,7,7,  N
1/16/2013,500,6,19,15,23,2, NG,0,  N,   ,   ,   ,1,91,  S, FW,8,6,7,7,  N
1/17/2013,500,6,31,27,29,6, NG,0,  N,   ,   ,   ,2,91,  S, SC,7,5,7,7,  N
1/18/2013,500,6,21,12,28,4, NG,0,  N,   ,   ,   ,1,91,  S, CL,8,8,7,7,  N
1/19/2013,500,6,38,27,22,17,24,0,  N,   ,   ,   ,1,19,  R, FW,8,6,7,7,  N
1/20/2013,500,6,28,4,29,27,37,0,  N,   ,   ,   ,2,67,  S, SC,8,7,7,7,  N
1/21/2013,500,6,15,1,29,9, NG,0,  N,   ,   ,   ,1,91,  S, BK,7,6,7,6,  N
1/22/2013,500,6,4,-10,30,12, NG,1,  N,   ,   ,   ,1,91,  S, FW,8,6,7,5,  N
1/23/2013,500,6,9,-7,29,7, NG,1,  N,   ,   ,   ,1,91,  S, OV,7,6,7,5,  N
1/24/2013,500,6,14,4,34,17,24,8,  N,   ,   ,   ,1,92,  S, BK,8,6,7,5,  N
1/25/2013,500,6,18,3,16,8, NG,4,  N,   ,   ,   ,1,91,  S, OV,8,6,7,6,  N
1/26/2013,500,6,23,11,34,9, NG,1,  N,   ,   ,   ,1,91,  S, OV,8,6,7,7,  N
1/27/2013,500,6,24,16,16,10, NG,2,  N,   ,   ,   ,3,91,  S, OV,7,6,7,7,  N
1/28/2013,500,6,35,34,19,14, NG,82,  Y,   ,   ,   ,2,29,  R, OV,3,3,5,5, BR
1/29/2013,500,6,40,40,12,8, NG,83,  Y,   ,   ,   ,0,2,  R, OV,2,2,2,2, BR
1/30/2013,500,6,51,51,33,4, NG,92,  Y,   ,   ,   ,0,0,  R, OV,4,3,5,5, BR
1/31/2013,500,6,21,13,30,19,26,38,  N,   ,   ,   ,0,100,  S, OV,5,5,7,7,  N
01/01/2013,600,7,19,10,35,9, NG,0,  N,   ,   ,   ,1,99,  S, OV,7,6,7,7,  N
01/02/2013,600,7,11,2,26,5, NG,0,  N,   ,   ,   ,1,99,  S, CL,8,8,7,6,  N
01/03/2013,600,7,23,15,24,8, NG,3,  N,   ,   ,   ,1,99,  S, OV,7,6,7,7,  N
01/04/2013,600,7,17,11,26,11, NG,0,  N,   ,   ,   ,1,99,  S, CL,8,8,7,7,  N
01/05/2013,600,7,26,20,24,6, NG,0,  N,   ,   ,   ,14,77,  S, CL,8,8,7,7,  N
01/06/2013,600,7,35,32,23,10,16,18,  N,   ,   ,   ,0,64,  S, OV,4,4,7,7,  N
01/07/2013,600,7,20,17,23,4, NG,0,  N,   ,   ,   ,3,93,  S, CL,8,8,7,7,  N
01/08/2013,600,7,30,25,22,7, NG,0,  N,   ,   ,   ,17,45,  S, BK,8,6,7,7,  N
01/09/2013,600,7,38,29,22,14, NG,2,  N,   ,   ,   ,0,13,  R, OV,8,5,7,7,  N
01/10/2013,600,7,30,22,22,3, NG,0,  N,   ,   ,   ,11,38,  S, FW,8,6,7,7,  N
01/11/2013,600,7,43,42,15,9, NG,93,  Y,   ,   ,   ,1,4,  R, OV,2,2,4,4, BR
01/12/2013,600,7,51,46,20,15,22,0,  N,   ,   ,   ,0,0,  R, OV,8,6,7,7,  N
1/13/2013,600,7,30,26,35,11, NG,82,  Y,   ,   ,   ,74,25,  Z, OV,6,5,7,7,  N
1/14/2013,600,7,13,5,30,13, NG,0,  N,   ,   ,   ,1,99,  S, BK,8,6,7,7,  N
1/15/2013,600,7,18,12,28,4, NG,0,  N,   ,   ,   ,1,99,  S, FW,8,6,7,7,  N
1/16/2013,600,7,20,15,23,2, NG,0,  N,   ,   ,   ,1,99,  S, CL,8,6,7,7,  N
1/17/2013,600,7,30,26,29,6, NG,0,  N,   ,   ,   ,2,97,  S, OV,6,6,7,7,  N
1/18/2013,600,7,20,13,27,5, NG,0,  N,   ,   ,   ,1,99,  S, CL,8,8,7,7,  N
1/19/2013,600,7,38,28,23,15,22,0,  N,   ,   ,   ,0,9,  R, CL,8,6,7,7,  N
1/20/2013,600,7,24,0,30,26,35,0,  N,   ,   ,   ,2,75,  S, CL,8,6,7,7,  N
1/21/2013,600,7,14,0,29,11, NG,0,  N,   ,   ,   ,1,99,  S, BK,7,6,7,6,  N
1/22/2013,600,7,4,-11,31,11,17,0,  N,   ,   ,   ,1,99,  S, FW,8,6,7,6,  N
1/23/2013,600,7,10,-7,29,7, NG,1,  N,   ,   ,   ,1,99,  S, OV,7,6,7,6,  N
1/24/2013,600,7,11,-2,34,15,21,7,  N,   ,   ,   ,0,100,  S, FW,8,6,7,6,  N
1/25/2013,600,7,20,3,16,8, NG,7,  N,   ,   ,   ,1,99,  S, OV,7,5,7,6,  N
1/26/2013,600,7,21,8,33,11, NG,1,  N,   ,   ,   ,1,99,  S, BK,7,6,7,7,  N
1/27/2013,600,7,24,17,17,8, NG,1,  N,   ,   ,   ,11,86,  S, OV,8,6,7,7,  N
1/28/2013,600,7,38,37,20,12, NG,79,  Y,   ,   ,   ,3,13,  R, OV,2,2,3,3, BR
1/29/2013,600,7,42,42,14,7, NG,63,  Y,   ,   ,   ,1,5,  R, OV,2,2,3,3, BR
1/30/2013,600,7,44,44,4,9, NG,91,  Y,   ,   ,   ,2,5,  R, OV,3,3,7,5,  N
1/31/2013,600,7,20,13,29,18,25,49,  Y,   ,   ,   ,0,100,  S, OV,6,6,7,7,  N
01/01/2013,700,8,19,9,35,8, NG,0,  N,   ,   ,   ,1,93,  S, OV,7,6,7,7,  N
01/02/2013,700,8,11,3,26,4, NG,1,  N,   ,   ,   ,1,93,  S, CL,8,8,7,7,  N
01/03/2013,700,8,23,16,24,7, NG,4,  N,   ,   ,   ,1,93,  S, OV,7,6,7,7,  N
01/04/2013,700,8,16,11,25,10,16,1,  N,   ,   ,   ,1,93,  S, CL,8,8,7,7,  N
01/05/2013,700,8,25,20,24,4, NG,1,  N,   ,   ,   ,5,83,  S, CL,8,8,7,7,  N
01/06/2013,700,8,35,32,23,14, NG,7,  N,   ,   ,   ,0,57,  S, OV,4,4,7,7,  N
01/07/2013,700,8,20,16,22,5, NG,0,  N,   ,   ,   ,2,87,  S, CL,8,8,7,7,  N
01/08/2013,700,8,29,24,21,6, NG,0,  N,   ,   ,   ,7,54,  S, SC,8,6,7,7,  N
01/09/2013,700,8,39,30,22,14,20,3,  N,   ,   ,   ,0,10,  R, OV,7,6,7,7,  N
01/10/2013,700,8,30,23,20,3, NG,1,  N,   ,   ,   ,5,45,  R, FW,8,6,7,7,  N
01/11/2013,700,8,43,42,15,6, NG,92,  Y,   ,   ,   ,0,3,  R, OV,3,3,5,5, BR
01/12/2013,700,8,52,47,21,15,22,0,  N,   ,   ,   ,0,3,  R, OV,8,6,7,7,  N
1/13/2013,700,8,30,27,36,11, NG,82,  Y,   ,   ,   ,72,28,  Z, OV,4,4,5,5, BR
1/14/2013,700,8,13,6,29,12, NG,1,  N,   ,   ,   ,1,93,  S, SC,8,6,7,7,  N
1/15/2013,700,8,18,11,29,4, NG,0,  N,   ,   ,   ,1,93,  S, FW,8,8,7,7,  N
1/16/2013,700,8,20,15,24,2, NG,0,  N,   ,   ,   ,1,93,  S, CL,8,8,7,7,  N
1/17/2013,700,8,32,27,31,7, NG,0,  N,   ,   ,   ,1,92,  S, BK,6,5,7,7,  N
1/18/2013,700,8,20,13,28,4, NG,1,  N,   ,   ,   ,1,93,  S, FW,8,6,7,7,  N
1/19/2013,700,8,38,28,23,13,19,0,  N,   ,   ,   ,0,8,  R, CL,8,7,7,7,  N
1/20/2013,700,8,23,-2,30,23,32,0,  N,   ,   ,   ,2,78,  S, FW,8,6,7,7,  N
1/21/2013,700,8,15,1,28,9, NG,0,  N,   ,   ,   ,1,93,  S, BK,7,6,7,7,  N
1/22/2013,700,8,4,-10,30,11, NG,0,  N,   ,   ,   ,1,93,  S, SC,8,6,7,6,  N
